Well_ID,project_id,Cum_Prior_Plan_frac,W1_Plan_frac,W2_Plan_frac,W3_Plan_frac,W4_Plan_frac,W5_Plan_frac,CurrentMonthPlanFrac,CumCurrentMonthPlanFrac,Latest_Target_End,CreatedOn
10207,278c5587-bba7-46ea-9c6a-d79aa8bd2a69,0.05734944,0.01177941,0.01677941,0.48980603,0.14303572,0.07069444,0.73209502,0.78944446,2026-05-11,2026-03-17 15:33:36.353
10239,278c5587-bba7-46ea-9c6a-d79aa8bd2a69,0.0,0.0,0.0,0.17230953,0.26980159,0.12988095,0.57199208,0.57199208,2026-06-14,2026-03-17 15:33:36.353
10475,6d07e3a5-d89b-47ac-9163-8a71e8ade03d,0.19757478,0.04300214,0.02147436,0.00897436,0.00897436,0.0,0.08242521,0.28,2026-03-28,2026-03-17 15:33:36.353
10495,b824c9d0-374f-494f-a1de-4daf2441051e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-06-01,2026-03-17 15:33:36.353
10630,6d07e3a5-d89b-47ac-9163-8a71e8ade03d,0.26257478,0.04300214,0.02147436,0.00897436,0.00897436,0.0,0.08242521,0.345,2026-03-28,2026-03-17 15:33:36.353
1090,84ebfdb6-8f5d-4379-92cc-72498bd11146,0.56455298,0.13699919,0.09012273,0.04165845,0.05525194,0.01929264,0.34332495,0.90787793,2026-04-29,2026-03-17 15:33:36.353
11354,b824c9d0-374f-494f-a1de-4daf2441051e,0.01232143,0.0,0.11679366,0.12535566,0.09337054,0.02714286,0.3626627,0.37498413,2026-05-17,2026-03-17 15:33:36.353
11371,b824c9d0-374f-494f-a1de-4daf2441051e,0.09598622,0.00623026,0.08357916,0.08466468,0.2365107,0.10111318,0.51209799,0.60808421,2026-06-03,2026-03-17 15:33:36.353
1151,84ebfdb6-8f5d-4379-92cc-72498bd11146,0.6475776,0.05590189,0.03224804,0.00592593,0.06298646,0.01891968,0.175982,0.8235596,2026-05-05,2026-03-17 15:33:36.353
11763,6d07e3a5-d89b-47ac-9163-8a71e8ade03d,0.22757478,0.04300214,0.02147436,0.00897436,0.00897436,0.0,0.08242521,0.30999999,2026-03-28,2026-03-17 15:33:36.353
12072,b824c9d0-374f-494f-a1de-4daf2441051e,0.0,0.0,0.045,0.34000001,0.12391968,0.01891968,0.52783937,0.52783937,2026-05-03,2026-03-17 15:33:36.353
12345,25482266-1cfe-469a-be26-3f0d69bf61c4,0.0,0.0,0.0,0.20775171,0.19376276,0.13282009,0.53433456,0.53433456,2026-06-05,2026-03-17 15:33:36.353
