Work_Center,Operation_Short,Activity,Opr_System_status,Earl_start_date,EarliestEndDate,Station_Code,Normal_duration,Norm_duratn_un,Well_Name,Field,Responsible_asset,Well_ID,Well_Location,Well_Function,Well_Category,PCAP_Category,Move_days,PDO_Well_Type
SWER149,Y762-10207,Y762,REL,2026-03-24,2026-03-28,SSFDP,4.5,DAY,RKDS_2026_OP_LOC18,RAKID SOUTH,SOUTH,10207,RKDS_2026_OP_LOC18,Oil Producer,Development,Category IV,0,NPS9723PCVH
SWER149,Y760-10239,Y760,REL,2026-04-25,2026-04-29,SSFDP,4.5,DAY,RKDS_2026_WI_LOC6,RAKID SOUTH,SOUTH,10239,RKDS_2026_WI_LOC6,Water Injector,Development,Category IV,0,NP9724WIVABH
SWERIG99,6845-10995,6845,REL,2039-12-26,2040-01-21,LEK,26.0,DAY,DMB-LSB-OP-3 (CR),DHULAIMA,NORTH,10995,DMB-LSB-OP-3 (CR),Oil Producer,Development,Category IV,1,LTL23GN
SWERIG99,6846-10996,6846,REL,2040-01-21,2040-02-16,LEK,26.0,DAY,DMB-LSB-WI-3 (CR),DHULAIMA,NORTH,10996,DMB-LSB-WI-3 (CR),Water Injector,Development,Category IV,1,LTL23WIH
SWERIG99,6936-10999,6936,REL,2040-02-16,2040-03-12,LEK,25.0,DAY,DMB-LSB-OP-5 (CR),DHULAIMA,NORTH,10999,DMB-LSB-OP-5 (CR),Oil Producer,Development,Category IV,1,LTL23GN
SWERIG99,6944-11003,6944,REL,2040-03-12,2040-04-06,LEK,25.0,DAY,DMB-LSB-WI-7 (CR),DHULAIMA,NORTH,11003,DMB-LSB-WI-7 (CR),Water Injector,Development,Category IV,1,LTL23WIH
SWERIG99,6926-11018,6926,REL,2041-07-27,2041-08-22,LEK,26.0,DAY,LE-OP-04,LEKHWAIR EAST,NORTH,11018,LE-OP-04,Oil Producer,Development,Category IV,1,LTL23ESSAT
SWER115,6982-11021,6982,REL,2036-11-10,2036-12-02,LEK,22.0,DAY,DAF-USAA-WI-02,DAFIQ,NORTH,11021,DAF-USAA-WI-02,Water Injector,Development,Category IV,1,LTL23WISAT
SWERIG99,6983-11023,6983,REL,2040-10-09,2040-11-17,LEK,39.0,DAY,D-AA-OP-05,DAFIQ,NORTH,11023,D-AA-OP-05,Oil Producer,Development,Category IV,1,LTL23ESUS
SWERIG99,6984-11024,6984,REL,2040-07-22,2040-08-31,LEK,40.0,DAY,D-AA-WI-05,DAFIQ,NORTH,11024,D-AA-WI-05,Water Injector,Development,Category IV,1,LTL23WIUS
SWERIG99,6985-11025,6985,REL,2040-12-26,2041-02-10,LEK,46.0,DAY,D-AA-OP-06,DAFIQ,NORTH,11025,D-AA-OP-06,Oil Producer,Development,Category IV,1,LTL23ESP
SWERIG99,6986-11026,6986,REL,2040-08-31,2040-10-09,LEK,39.0,DAY,D-AA-WI-06,DAFIQ,NORTH,11026,D-AA-WI-06,Water Injector,Development,Category IV,1,LTL23WIUS
SWERIG99,6987-11027,6987,REL,2041-03-21,2041-04-29,LEK,39.0,DAY,D-AA-OP-07,DAFIQ,NORTH,11027,D-AA-OP-07,Oil Producer,Development,Category IV,1,LTL23ESUS
SWERIG99,6988-11028,6988,REL,2040-11-17,2040-12-26,LEK,39.0,DAY,D-AA-WI-07,DAFIQ,NORTH,11028,D-AA-WI-07,Water Injector,Development,Category IV,1,LTL23WIUS
SWERIG99,6989-11030,6989,REL,2041-02-10,2041-03-21,LEK,39.0,DAY,D-AA-WI-01,DAFIQ,NORTH,11030,D-AA-WI-01,Water Injector,Development,Category IV,1,LTL23WIUS
