pdo_well_id,well_name_after_spud,project_name,rig_no,well_type,over_all_progress_percentages,progress_velocity,days_to_target,predicted_completion_date,completion_date_early,completion_date_late,weeks_remaining_predicted,risk_probability,risk_score,risk_tier
10205,RKDS_2026_OP_LOC3,RKDS_2026_OP_LOC3,SWER149,PCP,0.84,0.0,-69,2026-03-25,2026-03-24,2026-03-25,0.8236499937685828,99.7,99.7,CRITICAL
10206,RAKID-220,RKDS_2026_OP_LOC4,SWER149,PCP,0.68,0.0,-64,2026-03-23,2026-03-22,2026-03-23,0.5398769925312135,99.7,99.7,CRITICAL
10207,RKDS_2026_OP_LOC18,Nimr Flowline,SWER149,PCP,0.08,0.0,14,2026-03-25,2026-03-25,2026-03-25,0.8801689644731716,92.7,92.7,CRITICAL
10208,RKDS_2026_OP_LOC5,RKDS_2026_OP_LOC5,SWER149,PCP,0.57,0.0,-60,2026-03-23,2026-03-23,2026-03-23,0.6328460683564691,99.7,99.7,CRITICAL
10239,RKDS_2026_WI_LOC6,Nimr Flowline,SWER149,WI,0.02,0.0,169,2026-04-04,2026-04-04,2026-04-04,2.351808016829226,87.6,87.6,HIGH_RISK
23552,RASW_GH_WI_LOC4,Marmul Flowline,SWERIG81,WI,0.61,0.0,38,2026-03-28,2026-03-28,2026-03-28,1.341494223061008,18.1,18.1,HEALTHY
24665,ALBRG_1405250004_OP4,Nimr Location,SWER101,OP,0.3,0.019999999999999962,56,2026-04-08,2026-04-07,2026-04-08,2.8184176898961617,26.1,26.1,HEALTHY
25029,DB_I5_SPOT_EXP_UND_WI1,Marmul Flowline,SWER126,UNKNOWN,0.0,0.0,614,2026-04-10,2026-04-10,2026-04-10,3.2097585205144954,40.8,40.8,WATCH
25091,RKDS_2026_OP_LOC8,RKDS_2026_OP_LOC8,SWER149,PCP,0.82,0.0,-50,2026-03-24,2026-03-24,2026-03-24,0.7175894858388554,99.7,99.7,CRITICAL
25092,RAKID-236,Nimr Flowline,SWER149,PCP,0.13,0.0,-10,2026-03-25,2026-03-25,2026-03-25,0.8948367345728292,99.3,99.3,CRITICAL
25115,RASW_GH_WI_LOC5,Marmul Location,SWERIG81,UNKNOWN,0.0,0.0,550,2026-04-08,2026-04-07,2026-04-08,2.7865233329522523,88.6,88.6,HIGH_RISK
26881,RAKID_SOUTH_RKDS_2026_OP_LOC7,RKDS_2026_OP_LOC7,SWER149,PCP,0.59,0.0,-54,2026-03-23,2026-03-23,2026-03-23,0.5618231410188789,99.7,99.7,CRITICAL
27128,NM-A_PI2,NM-A_PI2,SWER104,UNKNOWN,0.19,0.0,311,2026-04-09,2026-04-08,2026-04-09,2.9715031476283196,54.4,54.4,WATCH
27129,NM-A_PI1,NM-A_PI1,SWER103,PI,0.23,0.0,-207,2026-03-27,2026-03-26,2026-03-27,1.1050495538227607,99.5,99.5,CRITICAL
27130,NM-A_PI26,NM-A_PI26,SWER104,PI,0.0,0.0,255,2026-04-08,2026-04-08,2026-04-08,2.844753891798882,50.3,50.3,WATCH
27131,NIMR-1673,Nimr Flowline,SWER137,PI,0.33,0.0,-97,2026-03-25,2026-03-25,2026-03-25,0.8596892249629533,99.2,99.2,CRITICAL
27132,NM-A_PI14,Nimr Flowline,SWER137,PI,0.17,0.0,-139,2026-03-27,2026-03-27,2026-03-27,1.1714672448772854,99.2,99.2,CRITICAL
27133,NIMR-1678,NM-A_PI15,SWER137,PI,0.23,0.0,-89,2026-03-26,2026-03-25,2026-03-26,0.9825660881339952,99.5,99.5,CRITICAL
27134,NM-A_PI16,Nimr Flowline,SWER104,PI,0.07,0.0,299,2026-04-05,2026-04-05,2026-04-05,2.450600969958478,66.5,66.5,HIGH_RISK
27135,NIMR-1658,NM-A_PI17,SWER137,PI,0.14,0.0,-136,2026-03-27,2026-03-27,2026-03-27,1.1298044671062557,99.5,99.5,CRITICAL
27136,NIMR-1630,NM-A_PI3,SWER103,PI,0.12,0.0,-199,2026-03-27,2026-03-27,2026-03-27,1.2114639737269117,99.5,99.5,CRITICAL
27137,NIMR-1662,NM-A_PI18,SWER137,PI,0.23,0.0,-124,2026-03-26,2026-03-26,2026-03-26,1.065930121324437,99.5,99.5,CRITICAL
27138,NM-A_PI4,NM-A_PI4,SWER103,PI,0.15,0.0,-187,2026-03-27,2026-03-27,2026-03-27,1.1324466918407359,99.5,99.5,CRITICAL
27139,NM-A_PI10,NM-A_PI10,SWER104,PI,0.0,0.0,275,2026-04-08,2026-04-08,2026-04-08,2.844753891798882,50.3,50.3,WATCH
27140,NM-A_PI5,NM-A_PI5,SWER103,PI,0.19,0.0,-220,2026-03-27,2026-03-26,2026-03-27,1.1236914648037277,99.5,99.5,CRITICAL
27150,NIMRE_6368431_OP1,Nimr Flowline,SWER104,PCP,0.03,0.0,90,2026-04-04,2026-04-03,2026-04-04,2.2349767089777206,52.2,52.2,WATCH
27365,AMIN-580,Nimr Flowline,SWER103,ESP,0.85,0.0,-11,2026-03-23,2026-03-22,2026-03-23,0.5395720688263448,98.8,98.8,CRITICAL
28340,MMAK_P1_AREA1_OP_3,Marmul Flowline,SWER127,PCP,1.0,0.0,-77,2026-03-20,2026-03-19,2026-03-20,0.07802300786479187,98.1,98.1,CRITICAL
28353,RAKID SOUTH_RKDS_2026_OP_LOC17,Nimr Flowline,SWER149,PCP,0.21,0.0,-34,2026-03-26,2026-03-26,2026-03-26,1.0661123543382345,99.3,99.3,CRITICAL
28793,30-MMHE_FURTHERDEVT_NCCR_OP1,Marmul Flowline,SWER127,PCP,0.26,-0.24000000000000002,45,2026-03-30,2026-03-29,2026-03-30,1.5545705737170068,49.7,49.7,WATCH
28820,MMNW-B6-2PUD-OP-01,Marmul Location,SWER128,UNKNOWN,0.0,0.0,1367,2026-04-10,2026-04-10,2026-04-10,3.1817868348304756,79.8,79.8,HIGH_RISK
28840,THAMOUD-102,Marmul Location,SWER129,WI,0.85,-0.020000000000000018,-27,2026-03-22,2026-03-22,2026-03-22,0.4742875807017256,96.1,96.1,CRITICAL
28860,TM_W_WI15,TM_W_WI15,SWER129,WI,0.85,0.040000000000000036,-64,2026-03-24,2026-03-23,2026-03-24,0.6901751811831747,98.9,98.9,CRITICAL
28990,DB_I5_SPOT_EXP_UND_WI9,Marmul Flowline,SWER126,UNKNOWN,0.0,0.0,603,2026-04-10,2026-04-10,2026-04-10,3.2097585205144954,40.8,40.8,WATCH
29008,MDNE_200M_SE_OP1,Marmul Location,SWER129,PCP,0.71,-0.07999999999999996,51,2026-03-29,2026-03-29,2026-03-29,1.4895421915504161,11.4,11.4,HEALTHY
29010,23_MMHE_WF_PHASE2_PREDG1_OP_1,Marmul Flowline,SWER127,PCP,0.25,-0.2,62,2026-04-05,2026-04-05,2026-04-05,2.4791940323895987,68.0,68.0,HIGH_RISK
29012,30-MMHE_FURTHERDEVT_NCCR_OP2,Marmul Location,SWER127,PCP,0.85,-0.71,-3,2026-03-20,2026-03-20,2026-03-20,0.13535693996115536,94.0,94.0,CRITICAL
29013,30-MMHE_FURTHERDEVT_NCCR_OP3,Marmul Flowline,SWER127,PCP,0.62,-0.59,3,2026-03-20,2026-03-20,2026-03-20,0.1415228140648262,16.1,16.1,HEALTHY
29029,MM-AK-P9-INFILL-OP-67,Marmul Location,SWER127,PCP,0.1,0.0,136,2026-04-06,2026-04-06,2026-04-06,2.5822579973176856,71.3,71.3,HIGH_RISK
29031,MM-AK-P9-INFILL-OP-70,Marmul Location,SWER127,PCP,0.1,0.0,144,2026-04-06,2026-04-06,2026-04-06,2.6207887527887843,63.5,63.5,WATCH
29037,23_MMHE_WF_PHASE2_PREDG1_OP_2,Marmul Flowline,SWER127,PCP,0.26,0.02999999999999997,20,2026-03-23,2026-03-23,2026-03-23,0.6419780962142665,65.1,65.1,WATCH
29107,RA-USI-205,Marmul Location,SWER129,UNKNOWN,0.0,0.0,477,2026-04-10,2026-04-09,2026-04-10,3.1049692612707256,59.8,59.8,WATCH
29119,MM-AK-P9-INFILL-WI-120,Marmul Location,SWER127,WI,0.1,0.0,186,2026-04-08,2026-04-08,2026-04-08,2.858474818408778,64.1,64.1,WATCH
29120,MM-AK-P9-INFILL-WI-84,Marmul Location,SWER127,WI,0.1,0.0,195,2026-04-08,2026-04-08,2026-04-08,2.858474818408778,64.1,64.1,WATCH
29191,MM_GNR_LG2_AB_OP_2,Marmul Location,SWER126,ESP,0.52,-0.38,88,2026-04-04,2026-04-04,2026-04-04,2.3440267335393488,42.6,42.6,WATCH
