,importance,stddev,p_value,n,p99_high,p99_low
progress_lag1,0.129001544851352,0.0038090071032702436,9.110538685958176e-08,5,0.13684434312305835,0.12115874657964568
loc_prep_composite,0.12237657976969471,0.005781959362994698,5.962063667564402e-07,5,0.13428171401327185,0.11047144552611757
remaining_to_complete,0.12162023893184466,0.003933608827702804,1.3113451338300723e-07,5,0.1297195938763365,0.11352088398735283
days_to_rig_off_exp,0.10000035411369028,0.0024762542395214463,4.508177832397425e-08,5,0.10509899581833569,0.09490171240904487
progress_rolling3w,0.04591330126786948,0.002008518307023607,4.383520140350401e-07,5,0.05004886822270424,0.04177773431303472
rig_no_cnt,0.02320778541328953,0.002932105206819796,2.993489177712641e-05,5,0.029245030560132182,0.017170540266446876
rig_no_te,0.017878208471128615,0.004419589692053534,0.00041383748760818036,5,0.026978204732287965,0.008778212209969265
pe_fussion_pull_20,0.015048485261388985,0.0028085335085189277,0.0001390667998499209,5,0.020831294573487775,0.009265675949290196
water_2,0.010717341534892687,0.0020567194108618635,0.0001550611648679949,5,0.014952155228740473,0.006482527841044903
progress_lag4,0.007804149141337817,0.0022224248237058164,0.0007106050105936136,5,0.012380152570523498,0.003228145712152136
progress_lag2,0.007191981823954715,0.0005387989980698023,3.7518981490404136e-06,5,0.00830137640797399,0.00608258723993544
mechani_60,0.005059889509856599,0.0008582285665211126,9.562050890025287e-05,5,0.006826993990302942,0.0032927850294102567
rig_no_enc,0.004361173041669493,0.0011549581788893172,0.0005388586556857605,5,0.006739247895221054,0.0019830981881179314
flow_line_const._status_in_progress_completed_enc,0.003638385572381932,0.0005340627090394161,5.414281799190233e-05,5,0.004738028071825171,0.0025387430729386933
sleeper_pre_cast_ins_15,0.003440249572783309,0.0008257486178148602,0.0003694597861874517,5,0.00514047738992288,0.0017400217556437377
earth_work_60,0.0027089997896996855,0.001084477867732396,0.002519373724452234,5,0.0049419547084377236,0.00047604487096164754
project_id_te,0.0025852427305101304,0.0007752439651927737,0.0008641181032549207,5,0.004181480769852344,0.0009890046911679169
ohl_progress,0.0015881971042256845,0.00015432709042954455,1.0565362198129097e-05,5,0.0019059587164471851,0.0012704354920041838
project_code_enc,0.001525305196745215,0.0004996083218380564,0.0012038369285330428,5,0.0025540056367306155,0.0004966047567598144
progress_accel,0.001169036001360893,0.0007585873070655743,0.013075687083299089,5,0.002730977751399722,-0.00039290574867793587
cs_pipe_welding_ndt_10_rt_for_op_100_for_60,0.0010921187240893596,0.000746546091379228,0.01537816015543676,5,0.0026292674446027147,-0.0004450299964239954
access_road_5,0.0010864852493128977,0.00038894129447789044,0.0016743007478670655,5,0.0018873207503828484,0.000285649748242947
final_hydro_t_3,0.0010381606586908122,0.00024576144015577906,0.00035027147104719624,5,0.0015441868607556433,0.0005321344566259809
hdpe_liner_instalat_4,0.0009354402540784776,0.0005945400169463902,0.012244955100309223,5,0.0021596063663874014,-0.0002887258582304461
completion_type_rig_fbu_or_rsr_hoist_enc,0.0008546710988300204,0.00034591848746428824,0.00262128086333602,5,0.0015669220456205786,0.00014242015203946227
progress_velocity_1w,0.0007986919318931044,0.000500313849394518,0.011691865168903198,5,0.0018288450628686863,-0.00023146119908247758
rig_duration_days,0.0007928539114393062,0.00026126643095722717,0.001231237524957399,5,0.001330805103866066,0.00025490271901254644
project_id_cnt,0.0007727500010380042,0.00016870520959436124,0.00025611301302239396,5,0.001120116359346588,0.0004253836427294203
scr_no,0.0006562207497018621,0.00029900724612069447,0.004000620900930224,5,0.001271880802183701,4.0560697220023176e-05
physical_tie_in_port_available_when_flaf_issued_enc,0.0006392641858509018,0.00019163233029728988,0.000863001991267975,5,0.0010338378025732996,0.00024469056912850386
days_since_start,0.0006349588109179696,0.0003678861538535468,0.009078448232032731,5,0.001392441486429427,-0.00012252386459348787
completion_type_rig_fbu_or_rsr_hoist_cnt,0.0006239736923262975,0.0003323921140779969,0.006861166784661004,5,0.0013083736493601339,-6.04262647075388e-05
well_type_te,0.0006237935792996002,0.0003599657280572867,0.008959065883814803,5,0.00136496798862464,-0.00011738083002543959
earthing_1,0.0005777006402665249,0.0003484510628025327,0.010352314134949005,5,0.0012951661946824394,-0.00013976491414938955
start_month,0.0005179237265056646,0.00025358713679292654,0.005142368956361493,5,0.0010400631461090046,-4.2156930976752945e-06
well_type_enc,0.0004979748168138648,0.0003099233318658027,0.01145185840880495,5,0.0011361112407212203,-0.0001401616070934908
beam_pump_base_esp_pcp_foundation_5,0.0004186848428259754,0.0005012179648121919,0.06758221855633888,5,0.001450699559942751,-0.0006133298742908003
cellar_20,0.00040345450711258974,0.00015629195882121467,0.002236094903535954,5,0.0007252618105099063,8.164720371527318e-05
dist_from_centroid,0.0003466146920359195,0.00017743783040400244,0.005993261953281956,5,0.0007119616372892009,-1.8732253217361883e-05
engg_kpi_after_rig-off_days,0.00031028657458594957,0.00016396407837179745,0.006676750076608758,5,0.0006478908781778773,-2.7317729005978152e-05
northing,0.00030267772917917933,0.00029981669257408023,0.04346478371906618,5,0.0009200044430962785,-0.0003146489847379198
well_type_cnt,0.0002729369279864641,8.456271516404194e-05,0.0009772620104088578,5,0.0004470527272901574,9.882112868277079e-05
fl_dia_enc,0.00023718493685171427,0.0001947693485188843,0.026410848550993342,5,0.0006382177174505746,-0.00016384784374714608
easting,0.00019678184412180998,0.00030347875801526344,0.1103428840763023,5,0.0008216488013974286,-0.0004280851131538087
progress_velocity_2w,0.00019260262433154346,0.0005553413121567409,0.24066738747214927,5,0.0013360580616949033,-0.0009508528130318163
location_preparation_status_in_progress_completed_enc,0.00017255509837129369,0.00016138646250710641,0.03755069529750251,5,0.0005048520552713852,-0.00015974185852879786
completion_type_rig_fbu_or_rsr_hoist_te,0.00011785292376627343,0.0002606949626089585,0.18463104193480032,5,0.0006546274549654161,-0.00041892160743286925
geo_quadrant,0.00010156583290998195,6.421533595584482e-05,0.012042793306541745,5,0.00023378609719333009,-3.0654431373366195e-05
week_hist_std,0.0,0.0,0.5,5,0.0,0.0
week_hist_mean,0.0,0.0,0.5,5,0.0,0.0
momentum_score,-4.5928569091802094e-07,0.0013172873871946209,0.5002923604330541,5,0.002711853651389355,-0.002712772222771191
start_quarter,-9.798824167366049e-05,0.000172083721771921,0.8640563383855419,5,0.00025633451990451965,-0.00045231100325184064
geo_angle,-0.0001226054171462404,0.0001221446371541174,0.9559097156530032,5,0.0001288920789723812,-0.000374102913264862
week_index,-0.00013035947754327094,5.815127429352012e-05,0.9962881490880757,5,-1.062520003688853e-05,-0.00025009375504965334
