pdo_well_id,well_name_after_spud,project_name,rig_no,well_type,current_progress_pct,risk_score,risk_tier,predicted_completion_date,completion_date_early,completion_date_late,weeks_remaining_predicted
31470,NIMR-1621,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31469,NIMR-1624,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
30426,NIMR-1646,Nimr Flowline,SWER103,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31487,NIMR-1648,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
30418,NIMR-1666,Nimr Flowline,SWER137,,0.0,80.0,CRITICAL,,,,
30419,NIMR-1669,Nimr Flowline,SWER137,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31000,NIMR-1671,Nimr Flowline,SWER103,No Artificial Lift,0.0,80.0,CRITICAL,,,,
27140,NM-A_PI5,Nimr Flowline,SWER103,No Artificial Lift,0.0,80.0,CRITICAL,,,,
30420,NM-A_PI8,Nimr Flowline,SWER103,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31484,NME_E1_10_PI_2109220030,Nimr Flowline,SWER103,No Artificial Lift,0.0,80.0,CRITICAL,,,,
30993,NME_E1_1_PI_2109220030,Nimr Flowline,SWER104,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31471,NME_E6_12_PI_2109220030,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31474,NME_E6_16_PI_2109220030,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31477,NME_E6_19_PI_2109220030,Nimr Flowline,SWER102,No Artificial Lift,0.0,80.0,CRITICAL,,,,
31473,NME_E6_15_PI_2109220030,Nimr Flowline,SWER102,,0.0,79.8,CRITICAL,,,,
36092,NIMR-1660,Nimr Flowline,SWER103,No Artificial Lift,2.0,79.1,CRITICAL,,,,
31485,NIMR-1675,Nimr Flowline,SWER103,No Artificial Lift,0.0,79.1,CRITICAL,,,,
30416,NM-A_PI11,Nimr Flowline,SWER102,No Artificial Lift,0.0,79.0,CRITICAL,,,,
30886,NIMR-1682,Nimr Flowline,SWERIG82,PCP,0.0,77.8,CRITICAL,,,,
27136,NIMR-1630,Nimr Flowline,SWER103,No Artificial Lift,5.0,77.7,CRITICAL,,,,
27137,NIMR-1662,Nimr Flowline,SWER137,No Artificial Lift,5.0,77.7,CRITICAL,,,,
27138,NM-A_PI4,Nimr Flowline,SWER103,No Artificial Lift,5.0,77.7,CRITICAL,,,,
31483,NIMR-1650,Nimr Flowline,SWER103,No Artificial Lift,6.0,77.3,CRITICAL,,,,
31480,NIMR-1631,Nimr Flowline,SWER104,No Artificial Lift,7.0,76.8,CRITICAL,,,,
31482,NIMR-1668,Nimr Flowline,SWER103,No Artificial Lift,7.0,76.8,CRITICAL,,,,
31481,NME_E1_5_PI_2109220030,Nimr Flowline,SWER104,No Artificial Lift,7.0,76.8,CRITICAL,,,,
30998,NIMR-1664,Nimr Flowline,SWER103,No Artificial Lift,8.0,76.4,CRITICAL,,,,
31479,NME_E1_3_PI_2109220030,Nimr Flowline,SWER104,No Artificial Lift,8.0,76.4,CRITICAL,,,,
31001,NIMR-1652,Nimr Flowline,SWER102,No Artificial Lift,9.0,76.0,CRITICAL,,,,
31476,NIMR-1629,Nimr Flowline,SWER102,No Artificial Lift,10.0,75.5,CRITICAL,,,,
31475,NME_E6_17_PI_2109220030,Nimr Flowline,SWER102,No Artificial Lift,10.0,75.5,CRITICAL,,,,
31733,NIMR-1687,Nimr Flowline,SWERIG82,PCP,0.0,75.2,CRITICAL,,,,
27135,NIMR-1658,Nimr Flowline,SWER137,No Artificial Lift,11.0,75.0,CRITICAL,,,,
30982,NME_E6_9_PI_2109220030,Nimr Flowline,SWER102,No Artificial Lift,11.0,75.0,CRITICAL,,,,
30984,NIMR-1627,Nimr Flowline,SWER102,No Artificial Lift,12.0,74.6,HIGH_RISK,,,,
27132,NM-A_PI14,Nimr Flowline,SWER137,No Artificial Lift,12.0,74.6,HIGH_RISK,,,,
36108,AMIN-573,Nimr Flowline,SWER102,BP,3.0,74.4,HIGH_RISK,,,,
33241,RAKDS_B_WI_LOC1,Nimr Flowline,SWER133,No Artificial Lift,0.0,74.2,HIGH_RISK,,,,
27129,NM-A_PI1,Nimr Flowline,SWER103,No Artificial Lift,14.0,73.7,HIGH_RISK,,,,
33141,TUQAA-22,Nimr Non-Standard Well,SWER133,PCP,3.0,73.5,HIGH_RISK,,,,
33145,RAKDS_B_WI_LOC2,Nimr Flowline,SWER133,"No Artificial Lift
Artificial Lift Type
defined in WCC is :
Water Injection.",0.0,72.9,HIGH_RISK,,,,
31491,NIMR-1691,Nimr Flowline,SWER104,Beam Pump,3.0,72.5,HIGH_RISK,,,,
36125,NIMR-1685,Nimr Flowline,SWER104,,10.0,70.7,HIGH_RISK,,,,
30415,NIMR-1636,Nimr Flowline,SWER103,,21.0,70.5,HIGH_RISK,,,,
37604,ALBRG_1405250004_OP14,Nimr Flowline,SWER102,,0.0,70.3,HIGH_RISK,,,,
36735,SAQRW_OP_26_LOC1,Nimr Flowline,SWER137,,4.0,69.9,HIGH_RISK,,,,
29012,30-MMHE_FURTHERDEVT_NCCR_OP2,Marmul Flowline,SWER127,,2.0,69.6,HIGH_RISK,,,,
28099,HW_WF_INFILL_PH2_657SW_OP,Marmul Flowline,SWER150,,2.0,69.6,HIGH_RISK,,,,
28129,HW_WF_INFILL_PH2_890SW_OP,Marmul Flowline,SWER150,,1.0,69.5,HIGH_RISK,,,,
30417,NIMR-1640,Nimr Flowline,SWER103,No Artificial Lift,24.0,69.1,HIGH_RISK,,,,
33151,TUQAA-23,Nimr Non-Standard Well,SWERIG81,PCP,11.0,69.1,HIGH_RISK,,,,
36737,SAQRW_OP_26_LOC3,Nimr Flowline,SWER137,,1.0,68.7,HIGH_RISK,,,,
36736,SAQRW_OP_26_LOC2,Nimr Flowline,SWER137,,5.0,68.3,HIGH_RISK,,,,
29013,30-MMHE_FURTHERDEVT_NCCR_OP3,Marmul Flowline,SWER127,,2.0,67.9,HIGH_RISK,,,,
30750,ALBRG_1405250004_WI2,Nimr Flowline,SWER101,No Artificial Lift,13.0,67.8,HIGH_RISK,,,,
33154,THULAILAT_NE_OP_26_LOC1,Marmul Flowline,SWER133,,1.0,67.7,HIGH_RISK,,,,
28130,HW_WF_INFILL_PH2_893NE_OP,Marmul Flowline,SWER150,,4.0,67.6,HIGH_RISK,,,,
34073,HW_WF_INFILL_PH2_861NE_OP,Marmul Flowline,SWER148,,0.0,67.4,HIGH_RISK,,,,
37236,RKDS_2026_WI_LOC3,Nimr Flowline,SWER149,,0.0,67.4,HIGH_RISK,,,,
36738,SAQRW_OP_27_LOC1,Nimr Flowline,SWER137,,1.0,67.3,HIGH_RISK,,,,
34074,HW_WF_INFILL_PH2_861SE_OP,Marmul Flowline,SWER148,,0.0,66.9,HIGH_RISK,,,,
37237,RKDS_2026_WI_LOC4,Nimr Flowline,SWER149,,0.0,66.9,HIGH_RISK,,,,
36513,SAQRW_OP_28_LOC7,Nimr Flowline,SWER137,,0.0,66.9,HIGH_RISK,,,,
36927,IHSN_2502190007_APP1,Nimr Flowline,SWER102,,0.0,66.6,HIGH_RISK,,,,
29396,RKDS_2026_OP_LOC14,Nimr Flowline,SWER149,,8.0,66.5,HIGH_RISK,,,,
31210,RKDS_2026_WI_LOC7,Nimr Flowline,SWER149,,0.0,66.5,HIGH_RISK,,,,
28147,HW_WF_INFILL_PH2_515SW_C_WI,Marmul Flowline,SWER148,,6.0,66.4,HIGH_RISK,,,,
34075,HW_WF_INFILL_PH2_861SW_OP,Marmul Flowline,SWER148,,0.0,66.4,HIGH_RISK,,,,
28094,HW_WF_INFILL_PH2_31SW_OP,Marmul Flowline,SWER148,,5.0,66.0,HIGH_RISK,,,,
10239,RKDS_2026_WI_LOC6,Nimr Flowline,SWER149,,0.0,66.0,HIGH_RISK,,,,
36073,AMIN_1673188_OP19,Nimr Flowline,SWER103,,10.0,65.8,HIGH_RISK,,,,
34879,HW_WF_EXTRA_INFILL_OP4,Marmul Flowline,SWER150,,0.0,65.7,HIGH_RISK,,,,
30430,NIMR-1683,Nimr Flowline,SWER102,No Artificial Lift,27.0,65.6,HIGH_RISK,,,,
37238,RKDS_2026_WI_LOC5,Nimr Flowline,SWER149,,0.0,65.6,HIGH_RISK,,,,
34357,ALBRG_1405250004_OP3,Nimr Flowline,SWER101,BP,0.0,65.5,HIGH_RISK,,,,
29395,RKDS_2026_OP_LOC13,Nimr Flowline,SWER149,,7.0,65.5,HIGH_RISK,,,,
35231,SAQR-27,Nimr Flowline,SWER137,,19.0,65.5,HIGH_RISK,,,,
36754,RAKDS_APP_LOC2,Nimr Location,SWER137,,0.0,65.1,HIGH_RISK,,,,
36755,RAKDS_APP_LOC3,Nimr Flowline,SWER149,,0.0,65.1,HIGH_RISK,,,,
37607,KMW_AK_APP2,Nimr Location,SWER103,,0.0,65.0,HIGH_RISK,,,,
36074,AMIN_1673188_OP20,Nimr Flowline,SWER103,,10.0,64.9,HIGH_RISK,,,,
36926,IHSN_2502190007_APP2,Nimr Flowline,SWER102,,0.0,64.9,HIGH_RISK,,,,
36124,NIMR-1690,Nimr Flowline,SWER103,,21.0,64.9,HIGH_RISK,,,,
36578,THULAILAT_NE_OP_26_LOC3,Marmul Flowline,SWER133,,2.0,64.8,HIGH_RISK,,,,
34888,HW_I9_ADDITIONAL_769N_WI,Marmul Flowline,SWER150,,0.0,64.7,HIGH_RISK,,,,
25092,RKDS_2026_OP_LOC9,Nimr Flowline,SWER149,,15.0,64.6,HIGH_RISK,,,,
37620,TL_SB_AK_CR_OP_01',Marmul Flowline,SWER128,,7.0,64.5,HIGH_RISK,,,,
28793,30-MMHE_FURTHERDEVT_NCCR_OP1,Marmul Flowline,SWER127,,1.0,64.2,HIGH_RISK,,,,
24665,ALBRG_1405250004_OP4,Nimr Flowline,SWER101,,0.0,64.2,HIGH_RISK,,,,
33140,MISBAH_LG3_OP_LOC4,Nimr Flowline,SWER149,,0.0,64.1,HIGH_RISK,,,,
29037,23_MMHE_WF_PHASE2_PREDG1_OP_2,Marmul Flowline,SWER127,,5.0,64.0,HIGH_RISK,,,,
36106,AMIN_1673188_OP31,Nimr Flowline,SWER103,ESP,10.0,63.9,HIGH_RISK,,,,
33240,MISBAH_LG3_OP_LOC6,Nimr Flowline,SWER149,,0.0,63.7,HIGH_RISK,,,,
30422,NIMR-1681,Nimr Flowline,SWER137,No Artificial Lift,31.0,63.7,HIGH_RISK,,,,
35534,TME_NB_I9_OP_6_CREST,Marmul Location,SWER129,,0.0,63.7,HIGH_RISK,,,,
37622,TL_SB_AK_CR_OP_02',Marmul Flowline,SWER128,,6.0,63.5,HIGH_RISK,,,,
10207,RKDS_2026_OP_LOC18,Nimr Flowline,SWER149,,13.0,63.3,HIGH_RISK,,,,
36925,IHSN_2502190007_APP3,Nimr Flowline,SWER102,,0.0,63.2,HIGH_RISK,,,,
28106,HW_WF_INFILL_PH2_745SW_OP,Marmul Flowline,SWER150,,18.0,63.0,HIGH_RISK,,,,
30355,NIMR-1692,Nimr Flowline,SWER104,,18.0,63.0,HIGH_RISK,,,,
30759,ALBRG_1405250004_OP5,Nimr Flowline,SWER101,,0.0,62.9,HIGH_RISK,,,,
33244,QATA_SOUTH_EF_2026_LOC1,Marmul Location,SWER133,,4.0,62.8,HIGH_RISK,,,,
33217,RKDS_2026_OP_LOC19,Nimr Flowline,SWER149,,18.0,62.8,HIGH_RISK,,,,
27805,V_INJECTOR_278_I,Marmul Flowline,SWER151,,4.0,62.4,HIGH_RISK,,,,
33061,SAQR_WI_25_LOC1,Nimr Flowline,SWER149,,0.0,62.3,HIGH_RISK,,,,
27365,AMIN_3946610_OP23,Nimr Flowline,SWER103,ESP,20.0,62.2,HIGH_RISK,,,,
36065,NIMRE_2409200041_OP1,Nimr Location,SWER104,,0.0,62.2,HIGH_RISK,,,,
36034,TME_AK_HZ_OP_2,Marmul Location,SWER129,,0.0,62.1,HIGH_RISK,,,,
29010,23_MMHE_WF_PHASE2_PREDG1_OP_1,Marmul Flowline,SWER127,,2.0,62.0,HIGH_RISK,,,,
36752,RKDS_2026_OP_LOC21,Nimr Flowline,SWER149,,13.0,61.9,HIGH_RISK,,,,
37605,ALBRG_1405250004_OP15,Nimr Flowline,SWER102,BP,15.0,61.8,HIGH_RISK,,,,
31247,ALBRG_1405250004_OP6,Nimr Flowline,SWER101,,0.0,61.7,HIGH_RISK,,,,
34422,AL BURJ_26_MC_OP2,Nimr Location,SWER101,,16.0,61.5,HIGH_RISK,,,,
28107,HW_WF_INFILL_PH2_754SE_OP,Marmul Flowline,SWER150,,20.0,61.5,HIGH_RISK,,,,
33153,TUQAA_PH1_OP_LOC12,Nimr Non-Standard Well,SWERIG81,PCP,2.0,61.5,HIGH_RISK,,,,
34565,NIMRB_1609240004_OP3,Nimr Location,SWER102,,0.0,61.4,HIGH_RISK,,,,
29389,RKDS_2026_OP_LOC15,Nimr Flowline,SWER149,,18.0,61.4,HIGH_RISK,,,,
28637,V_N9SPOT_P300_P,Marmul Flowline,SWER151,,3.0,61.2,HIGH_RISK,,,,
36751,RKDS_2026_OP_LOC20,Nimr Flowline,SWER149,,16.0,61.0,HIGH_RISK,,,,
37797,AL BURJ_26_MC_OP3,Nimr Location,SWER101,,13.0,60.6,HIGH_RISK,,,,
27131,NIMR-1673,Nimr Flowline,SWER137,No Artificial Lift,43.0,60.6,HIGH_RISK,,,,
31337,ALBRG_1405250004_OP7,Nimr Flowline,SWER101,,0.0,60.4,HIGH_RISK,,,,
30854,AMIN_25869179_OP10,Nimr Flowline,SWER103,ESP,28.0,60.4,HIGH_RISK,,,,
35670,MMAK_P1_AREA1_WI_1,Marmul Location,SWER127,,2.0,60.4,HIGH_RISK,,,,
36066,NIMRE_2409200041_OP2,Nimr Location,SWER104,,0.0,60.4,HIGH_RISK,,,,
35592,TME_NB_I9_OP_1_FLANK,Marmul Flowline,SWER129,,1.0,60.4,HIGH_RISK,,,,
29393,RKDS_2026_OP_LOC11,Nimr Flowline,SWER149,,26.0,60.1,HIGH_RISK,,,,
31338,ALBRG_1405250004_OP8,Nimr Flowline,SWER101,,0.0,60.0,HIGH_RISK,,,,
